"3619,7396,10972,53042,54481,54764,55432,56275"
"461,926,937,988,998,7964,10610,29622"
"11486,16634,17514,24909,26799,27849,40129,54481"
"19686,35828,51687,54481,54729,54878,56850,59450"
"209,303,2144,2207,4126,9870,26673,40118"
"148,220,278,303,1466,3419,7115,29622"
"17795,18759,19241,19690,24484,24909,26157,40974"
"8,4129,7403,29834,39200,40288,40974,51733"
"327,363,468,1521,28748,37807,40164,53952"
"16896,24153,41007,53436,53453,53525,55182,57942"
"3034,3619,7236,53390,54481,54744,54878,55698"
"3,11144,13227,19238,23883,24010,27755,53436"
"93,193,209,28981,35828,50715,55698,62843"
"461,14469,44239,53436,54272,54362,54481,59459"
"1742,2396,3695,11139,13207,18746,22037,55124"
"327,873,27938,28968,54362,54683,54807,63558"
"22415,24818,24916,44554,50715,51771,51803,54754"
"1742,4666,24916,40134,41093,44554,50621,54258"
"8,93,104,155,163,303,1585,7115"
"468,7964,11144,35828,40118,51741,64951,64957"
"3034,3243,5100,11144,13459,40266,54272,56850"
"4666,5708,7668,28947,40134,51711,54520,54803"
"452,468,510,41109,51700,62852,62884,63067"
"4404,10610,26693,27552,28748,51700,52376,53436"
"5632,17226,17795,18759,19241,24405,24484,26157"
"93,105,119,193,223,4126,11144,56069"
"17514,22346,22426,26703,27849,27871,27879,28765"
"4666,7403,7616,23883,26656,28947,51154,51803"
"278,300,468,873,18740,19238,44207,59443"
"93,155,163,193,220,289,7668,40118"
"148,254,1608,2144,2198,9310,11343,27879"
"178,303,3430,4122,4126,4389,9870,11144"
"40118,40740,44653,50704,53054,55317,55322,55693"
"4666,5100,17464,26590,40974,50721,54520,54760"
"3034,3243,5534,7236,7396,54481,55432,56275"
"468,495,54369,54738,55165,55296,55301,55698"
"1598,1646,5758,7660,9979,19215,27921,54520"
"155,10610,19238,27865,28748,40129,51119,51711"
"18746,24916,24954,40266,50721,51847,54520,54760"
"22415,26590,26656,40974,50715,50721,54520,55915"
"352,11026,17795,18759,19690,24484,24909,52577"
"7236,17226,41210,53470,53607,54481,54764,55165"
"172,178,223,300,24916,27938,40288,40767"
"16907,22406,24930,26630,44640,54811,55017,55291"
"327,363,1492,1510,1521,1535,1906,26767"
"247,258,259,39189,50621,53402,64651,64666"
"17514,53925,55165,55296,55698,56055,56824,59655"
"468,471,498,11144,53384,53618,53734,59655"
"879,1057,1423,1470,1721,2351,2363,51722"
"5708,6881,10878,17506,26656,28909,28917,51771"
"852,873,891,926,934,950,11144,14469"
"178,303,4122,4126,4389,9870,28909,54741"
"155,1608,1627,2133,2144,2198,11343,62956"
"13459,17464,27771,28748,35828,40767,51741,53470"
"308,2144,2198,4393,7115,54520,54803,55296"
"1608,4126,5100,7624,27755,27771,51777,55140"
"82,148,198,209,220,223,236,28742"
"292,5100,18746,27849,40138,55165,55698,56824"
"82,105,193,220,272,1608,11343,57935"
"24909,27538,28962,51228,52999,53384,59655,63693"
"11144,33801,37424,37807,50621,50715,59723,60348"
"82,119,148,172,461,2198,11144,56907"
"5534,24830,27938,28951,40118,50621,60348,61012"
"1012,11144,17787,35828,44227,53525,57935,63907"
"7115,26831,40974,54520,54738,55165,55301,55698"
"13459,22084,22415,23874,24916,26656,41093,54520"
"8,28924,52376,52982,52993,53005,53411,54272"
"22415,26580,26590,40974,51771,51803,54520,54760"
"11026,17795,18759,19241,19690,24484,24909,26157"
"1241,10878,18746,22018,23883,28947,29429,56289"
"259,295,327,414,966,1492,1521,1906"
"3,20,28951,28981,39200,40767,50621,53453"
"3243,35828,37807,39140,40118,53379,55165,55698"
"5100,9990,27879,35617,53436,53514,54258,55165"
"5758,21474,35828,40118,53271,54481,54744,54878"
"236,22415,23874,37299,40118,53304,53379,55698"
"155,209,220,289,27552,40974,51681,54754"
"54369,54526,55147,55165,55301,55698,56493,56824"
"1646,3619,7236,53271,53390,53470,53514,55301"
"11144,53503,53952,55703,55915,56155,59502,60331"
"8419,16896,19210,22037,27508,53379,53436,53453"
"236,252,254,278,1012,1627,2133,50715"
"9990,17795,18759,19241,19690,24484,24909,26157"
"513,18373,21474,22187,22426,27879,35828,44207"
"5758,19210,23830,27508,28968,40750,41007,51141"
"303,2207,3419,4122,4126,4389,28866,54272"
"163,178,198,236,2133,3423,3430,9310"
"468,5769,7676,24010,26656,29429,40974,44207"
"452,8419,16896,24968,41007,44216,53304,53436"
"3243,4129,5769,24916,40266,53925,54520,54803"
"873,993,2351,26693,28992,40118,53042,55698"
"3243,10610,11144,12881,24470,26647,53016,63055"
"852,873,916,1293,1670,22058,51741,56844"
"879,1679,3243,5758,12881,17514,24968,54481"
"4404,24968,33806,40118,53508,54481,54764,55432"
"42,18740,18746,23874,40118,40974,54520,54754"
"53925,54258,54526,55165,55296,55301,55698,56493"
"104,155,163,198,220,289,4122,51119"
"104,163,193,198,289,7115,10653,40129"
"879,891,934,1598,6881,10151,53042,53952"
"452,3034,3438,7624,7923,23865,24153,24898"
